FILE,LHS_SEMIDETERMINISTIC,RHS_SEMIDETERMINISTIC,LHS_STATES,RHS_STATES,LHS_TRANS,RHS_TRANS,ALPHABET_SIZE,RESULT_STATES,ALGORITHM,RUNTIME(ms),RESULT
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration7.ats,false,false,102,4,132,22,18,214,DifferenceAntichain+TreeSet+lazyS+GBA,18,true
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration7.ats,false,false,102,4,132,22,18,213,DifferenceAntichain+TreeSet+lazyB+GBA,20,true
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration7.ats,false,false,102,4,132,22,18,213,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,19,true
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration2.ats,false,false,9,3,11,12,18,27,DifferenceAntichain+TreeSet+GBA,12,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration2.ats,false,false,9,3,11,12,18,27,DifferenceAntichain+TreeSet+lazyS+GBA,14,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration2.ats,false,false,9,3,11,12,18,27,DifferenceAntichain+TreeSet+lazyB+GBA,12,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration2.ats,false,false,9,3,11,12,18,27,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,12,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration3.ats,false,false,24,3,29,13,18,51,DifferenceAntichain+TreeSet+GBA,12,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration3.ats,false,false,24,3,29,13,18,51,DifferenceAntichain+TreeSet+lazyS+GBA,13,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration3.ats,false,false,24,3,29,13,18,51,DifferenceAntichain+TreeSet+lazyB+GBA,13,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration3.ats,false,false,24,3,29,13,18,51,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,13,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration4.ats,false,false,51,3,62,21,18,89,DifferenceAntichain+TreeSet+GBA,14,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration4.ats,false,false,51,3,62,21,18,89,DifferenceAntichain+TreeSet+lazyS+GBA,14,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration4.ats,false,false,51,3,62,21,18,89,DifferenceAntichain+TreeSet+lazyB+GBA,14,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration4.ats,false,false,51,3,62,21,18,89,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,15,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration5.ats,false,false,36,7,43,30,18,116,DifferenceAntichain+TreeSet+GBA,16,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration5.ats,false,false,36,7,43,30,18,116,DifferenceAntichain+TreeSet+lazyS+GBA,17,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration5.ats,false,false,36,7,43,30,18,116,DifferenceAntichain+TreeSet+lazyB+GBA,16,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration5.ats,false,false,36,7,43,30,18,116,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,16,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration6.ats,false,false,74,4,96,21,18,117,DifferenceAntichain+TreeSet+GBA,22,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration6.ats,false,false,74,4,96,21,18,117,DifferenceAntichain+TreeSet+lazyS+GBA,16,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration6.ats,false,false,74,4,96,21,18,117,DifferenceAntichain+TreeSet+lazyB+GBA,17,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration6.ats,false,false,74,4,96,21,18,117,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,15,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration7.ats,false,false,101,4,131,22,18,213,DifferenceAntichain+TreeSet+GBA,20,true
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration7.ats,false,false,101,4,131,22,18,213,DifferenceAntichain+TreeSet+lazyS+GBA,18,true
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration7.ats,false,false,101,4,131,22,18,212,DifferenceAntichain+TreeSet+lazyB+GBA,20,true
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY3_Iteration7.ats,false,false,101,4,131,22,18,212,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,20,true
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_ORIGINAL_Iteration2.ats,false,false,9,3,11,12,18,27,DifferenceAntichain+TreeSet+GBA,11,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_ORIGINAL_Iteration2.ats,false,false,9,3,11,12,18,27,DifferenceAntichain+TreeSet+lazyS+GBA,13,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_ORIGINAL_Iteration2.ats,false,false,9,3,11,12,18,27,DifferenceAntichain+TreeSet+lazyB+GBA,13,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_ORIGINAL_Iteration2.ats,false,false,9,3,11,12,18,27,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,12,false
